Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,oversub_2to1_50g,TcpNewReno,25000.0,0.009,3,49153/5000,20676.68,0.8271,0.0254,0.0003,0.0078,0.9993,comparison/oversub_2to1_50g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_50g,TcpSwift,25000.0,0.009,3,49153/5000,22551.72,0.9021,0.0253,0.0002,0.0098,0.9993,comparison/oversub_2to1_50g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_10g,TcpBbr,2500.0,0.009,3,49153/5000,2065.07,0.826,0.1661,0.0006,0.0092,0.9997,comparison/oversub_4to1_10g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_10g,TcpCubic,2500.0,0.009,3,49153/5000,2185.62,0.8742,0.195,0.0009,0.0201,0.9997,comparison/oversub_4to1_10g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_10g,TcpNewReno,2500.0,0.009,3,49153/5000,2012.17,0.8049,0.1517,0.0008,0.0069,0.9994,comparison/oversub_4to1_10g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_10g,TcpSwift,2500.0,0.009,3,49153/5000,2251.38,0.9006,0.1668,0.0007,0.0079,0.9994,comparison/oversub_4to1_10g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_40g,TcpBbr,10000.0,0.009,3,49153/5000,7975.01,0.7975,0.0435,0.0003,0.0071,0.9995,comparison/oversub_4to1_40g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_40g,TcpCubic,10000.0,0.009,3,49153/5000,8328.06,0.8328,0.0497,0.0006,0.0122,0.9993,comparison/oversub_4to1_40g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_40g,TcpNewReno,10000.0,0.009,3,49153/5000,7953.09,0.7953,0.0444,0.0004,0.0065,0.9994,comparison/oversub_4to1_40g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_40g,TcpSwift,10000.0,0.009,3,49153/5000,8584.69,0.8585,0.0436,0.0004,0.0067,0.9983,comparison/oversub_4to1_40g_TcpSwift.flowmonitor
